Year,Broad Gauge,Metre Gauge,Narrow Gauge,Total
1964-65,37203,25645,4333,67181
1965-66,38049,26014,4312,68375
1966-67,38499,26025,4340,68864
1967-68,39024,26211,4489,69724
1968-69,39862,26343,4486,70691
1969-70,40422,26346,4483,71251
1970-71,40825,26362,4482,71669
1971-72,41866,26877,4482,73225
1972-73,42325,26864,4475,73664
1973-74,42756,26873,4475,74104
1974-75,42846,26875,4476,74197
1975-76,43211,26752,4292,74255
1976-77,43743,26815,4281,74839
1977-78,43922,26809,4281,75012
1978-79,44216,26698,4281,75195
1979-80,44410,26759,4281,75450
1980-81,45167,26447,4246,75860
1981-82,45896,25822,4246,75964
1982-83,46309,25642,4246,76197
1983-84,46505,25656,4246,76407
1984-85,47513,25204,4246,76963
1985-86,47810,25097,4246,77153
1986-87,47924,25083,4247,77254
1987-88,48345,25080,4246,77671
1988-89,48772,24827,4246,77845
1989-90,49447,24805,4068,78320
1990-91,49905,24634,4068,78607
1991-92,50411,24492,4066,78969
1992-93,52065,23149,3986,79200
1993-94,53560,21643,3985,79188
1994-95,55664,19993,3838,79495
1995-96,57088,19559,3794,80441
1996-97,59070,17974,3710,80754
1997-98,60550,16682,3676,80908
1998-99,62184,15875,3452,81511
1999-00,62441,15411,3400,81252
2000-01,63199,15361,3305,81865
2001-02,63780,15269,3305,82354
2002-03,64461,14859,3172,82492
2003-04,66754,13976,3129,83859
2004-05,67932,13271,3057,84260
2005-06,69016,12429,2925,84370
2006-07,71014,11487,2888,85389
2007-08,72538,9869,2751,85158
2008-09,75228,8973,2736,86937
2009-10,76757,7792,2538,87087
2010-11,77421,7219,2474,87114
2011-12,80779,6725,2297,89801
2012-13,80507,6432,2297,89236
2013-14,81914,5708,2297,89919
